::genres,id,title,overview,release_date,userId,rating
action,949,heat,obsessive master thief neil mccauley leads a topnotch crew on various insane heists throughout los angeles while a mentally unstable detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence,1995-12-15,23,3.5
action,949,heat,obsessive master thief neil mccauley leads a topnotch crew on various insane heists throughout los angeles while a mentally unstable detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence,1995-12-15,102,4.0
action,949,heat,obsessive master thief neil mccauley leads a topnotch crew on various insane heists throughout los angeles while a mentally unstable detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence,1995-12-15,232,2.0
action,949,heat,obsessive master thief neil mccauley leads a topnotch crew on various insane heists throughout los angeles while a mentally unstable detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence,1995-12-15,242,5.0
action,949,heat,obsessive master thief neil mccauley leads a topnotch crew on various insane heists throughout los angeles while a mentally unstable detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence,1995-12-15,263,3.0
action,949,heat,obsessive master thief neil mccauley leads a topnotch crew on various insane heists throughout los angeles while a mentally unstable detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence,1995-12-15,311,3.0
action,949,heat,obsessive master thief neil mccauley leads a topnotch crew on various insane heists throughout los angeles while a mentally unstable detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence,1995-12-15,363,4.0
action,949,heat,obsessive master thief neil mccauley leads a topnotch crew on various insane heists throughout los angeles while a mentally unstable detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence,1995-12-15,387,5.0
action,949,heat,obsessive master thief neil mccauley leads a topnotch crew on various insane heists throughout los angeles while a mentally unstable detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence,1995-12-15,452,4.5
action,949,heat,obsessive master thief neil mccauley leads a topnotch crew on various insane heists throughout los angeles while a mentally unstable detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence,1995-12-15,505,3.5
action,949,heat,obsessive master thief neil mccauley leads a topnotch crew on various insane heists throughout los angeles while a mentally unstable detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence,1995-12-15,509,2.0
action,949,heat,obsessive master thief neil mccauley leads a topnotch crew on various insane heists throughout los angeles while a mentally unstable detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence,1995-12-15,537,3.0
action,949,heat,obsessive master thief neil mccauley leads a topnotch crew on various insane heists throughout los angeles while a mentally unstable detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence,1995-12-15,547,4.0
action,949,heat,obsessive master thief neil mccauley leads a topnotch crew on various insane heists throughout los angeles while a mentally unstable detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence,1995-12-15,558,4.0
action,949,heat,obsessive master thief neil mccauley leads a topnotch crew on various insane heists throughout los angeles while a mentally unstable detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence,1995-12-15,564,3.0
action,949,heat,obsessive master thief neil mccauley leads a topnotch crew on various insane heists throughout los angeles while a mentally unstable detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence,1995-12-15,647,4.0
adventure,710,goldeneye,james bond must unmask the mysterious head of the janus syndicate and prevent the leader from utilizing the goldeneye weapons system to inflict devastating revenge on britain,1995-11-16,358,1.0
adventure,710,goldeneye,james bond must unmask the mysterious head of the janus syndicate and prevent the leader from utilizing the goldeneye weapons system to inflict devastating revenge on britain,1995-11-16,390,2.0
action,1408,cutthroat island,morgan adams and her slave william shaw are on a quest to recover the three portions of a treasure map unfortunately the final portion is held by her murderous uncle dawg her crew is skeptical of her leadership abilities so she must complete her quest before they mutiny against her this is made yet more difficult by the efforts of the british crown to end her pirate raids,1995-12-22,7,1.0
action,1408,cutthroat island,morgan adams and her slave william shaw are on a quest to recover the three portions of a treasure map unfortunately the final portion is held by her murderous uncle dawg her crew is skeptical of her leadership abilities so she must complete her quest before they mutiny against her this is made yet more difficult by the efforts of the british crown to end her pirate raids,1995-12-22,11,5.0
action,1408,cutthroat island,morgan adams and her slave william shaw are on a quest to recover the three portions of a treasure map unfortunately the final portion is held by her murderous uncle dawg her crew is skeptical of her leadership abilities so she must complete her quest before they mutiny against her this is made yet more difficult by the efforts of the british crown to end her pirate raids,1995-12-22,19,3.0
action,1408,cutthroat island,morgan adams and her slave william shaw are on a quest to recover the three portions of a treasure map unfortunately the final portion is held by her murderous uncle dawg her crew is skeptical of her leadership abilities so she must complete her quest before they mutiny against her this is made yet more difficult by the efforts of the british crown to end her pirate raids,1995-12-22,23,3.5
action,1408,cutthroat island,morgan adams and her slave william shaw are on a quest to recover the three portions of a treasure map unfortunately the final portion is held by her murderous uncle dawg her crew is skeptical of her leadership abilities so she must complete her quest before they mutiny against her this is made yet more difficult by the efforts of the british crown to end her pirate raids,1995-12-22,57,4.0
action,1408,cutthroat island,morgan adams and her slave william shaw are on a quest to recover the three portions of a treasure map unfortunately the final portion is held by her murderous uncle dawg her crew is skeptical of her leadership abilities so she must complete her quest before they mutiny against her this is made yet more difficult by the efforts of the british crown to end her pirate raids,1995-12-22,63,4.5
action,1408,cutthroat island,morgan adams and her slave william shaw are on a quest to recover the three portions of a treasure map unfortunately the final portion is held by her murderous uncle dawg her crew is skeptical of her leadership abilities so she must complete her quest before they mutiny against her this is made yet more difficult by the efforts of the british crown to end her pirate raids,1995-12-22,73,3.0
action,1408,cutthroat island,morgan adams and her slave william shaw are on a quest to recover the three portions of a treasure map unfortunately the final portion is held by her murderous uncle dawg her crew is skeptical of her leadership abilities so she must complete her quest before they mutiny against her this is made yet more difficult by the efforts of the british crown to end her pirate raids,1995-12-22,111,4.5
action,1408,cutthroat island,morgan adams and her slave william shaw are on a quest to recover the three portions of a treasure map unfortunately the final portion is held by her murderous uncle dawg her crew is skeptical of her leadership abilities so she must complete her quest before they mutiny against her this is made yet more difficult by the efforts of the british crown to end her pirate raids,1995-12-22,212,3.5
action,1408,cutthroat island,morgan adams and her slave william shaw are on a quest to recover the three portions of a treasure map unfortunately the final portion is held by her murderous uncle dawg her crew is skeptical of her leadership abilities so she must complete her quest before they mutiny against her this is made yet more difficult by the efforts of the british crown to end her pirate raids,1995-12-22,232,5.0
